comments,description,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,title,url,views,talk_id
145,"You've heard about slow food. Now here's slow ... TV? In this very funny talk, Norwegian television producer Thomas Hellum shares how he and his team began to broadcast long, boring events, often live -- and found a rapt audience. Shows include a 7-hour train journey, an 18-hour fishing expedition and a 5.5-day ferry voyage along the coast of Norway. The results are both beautiful and fascinating. Really.",1086,TEDxArendal,15-08-2014,30,Thomas Hellum,Thomas Hellum: The world's most boring television ... and why it's hilariously addictive,1,10-12-2014,Slow television advocate,The world's most boring television ... and why it's hilariously addictive,"https://www.ted.com/talks/thomas_hellum_the_world_s_most_boring_television_and_why_it_s_hilariously_addictive
",2065196,1880
386,"A very unsexy-sounding piece of technology could mean that the police know where you go, with whom, and when: the automatic license plate reader. These cameras are innocuously placed all across small-town America to catch known criminals, but as lawyer and TED Fellow Catherine Crump shows, the data they collect in aggregate could have disastrous consequences for everyone the world over.",354,TEDGlobal 2014,14-10-2014,32,Catherine Crump,Catherine Crump: The small and surprisingly dangerous detail the police track about you,1,11-12-2014,Attorney + privacy advocate,The small and surprisingly dangerous detail the police track about you,"https://www.ted.com/talks/catherine_crump_the_small_and_surprisingly_dangerous_detail_the_police_track_about_you
",1824724,1881
65,"Every city has its neighborhoods, cliques and clubs, the hidden lines that join and divide people in the same town. What can we learn about cities by looking at what people share online? Starting with his own home town of Baltimore, Dave Troy has been visualizing what the tweets of city dwellers reveal about who lives there, who they talk to — and who they don’t.",328,TEDGlobal 2014,13-10-2014,32,Dave Troy,Dave Troy: Social maps that reveal a city's intersections — and separations,1,12-12-2014,Technologist,Social maps that reveal a city's intersections — and separations,"https://www.ted.com/talks/dave_troy_social_maps_that_reveal_a_city_s_intersections_and_separations
",1307615,1882
164,"Our biases can be dangerous, even deadly — as we've seen in the cases of Michael Brown in Ferguson, Missouri, and Eric Garner, in Staten Island, New York. Diversity advocate Vernā Myers looks closely at some of the subconscious attitudes we hold toward out-groups. She makes a plea to all people: Acknowledge your biases. Then move toward, not away from, the groups that make you uncomfortable. In a funny, impassioned, important talk, she shows us how.",1069,TEDxBeaconStreet,15-11-2014,25,Vernā Myers,Vernā Myers: How to overcome our biases? Walk boldly toward them,1,15-12-2014,Diversity advocate,How to overcome our biases? Walk boldly toward them,"https://www.ted.com/talks/verna_myers_how_to_overcome_our_biases_walk_boldly_toward_them
",1569991,1883
249,"What happens when we teach a computer how to learn? Technologist Jeremy Howard shares some surprising new developments in the fast-moving field of deep learning, a technique that can give computers the ability to learn Chinese, or to recognize objects in photos, or to help think through a medical diagnosis. (One deep learning tool, after watching hours of YouTube, taught itself the concept of ""cats."") Get caught up on a field that will change the way the computers around you behave ... sooner than you probably think.",1185,TEDxBrussels,01-12-2014,26,Jeremy Howard,Jeremy Howard: The wonderful and terrifying implications of computers that can learn,1,16-12-2014,Data scientist,The wonderful and terrifying implications of computers that can learn,"https://www.ted.com/talks/jeremy_howard_the_wonderful_and_terrifying_implications_of_computers_that_can_learn
",2183690,1884
203,"Carol Dweck researches “growth mindset” — the idea that we can grow our brain's capacity to learn and to solve problems. In this talk, she describes two ways to think about a problem that’s slightly too hard for you to solve. Are you not smart enough to solve it … or have you just not solved it yet? A great introduction to this influential field.",620,TEDxNorrkoping,11-11-2014,41,Carol Dweck,Carol Dweck: The power of believing that you can improve,1,17-12-2014,Psychologist,The power of believing that you can improve,"https://www.ted.com/talks/carol_dweck_the_power_of_believing_that_you_can_improve
",6569493,1885
35,"In 2011, journalist Bruno Torturra covered a protest in São Paulo which turned ugly. His experience of being teargassed had a profound effect on the way he thought about his work, and he quit his job to focus on broadcasting raw, unedited experiences online. In this fascinating talk, he shares some of the ways in which he's experimented with livestreaming on the web, and how in the process he has helped to create a very modern media network.",815,TEDGlobal 2014,06-10-2014,22,Bruno Torturra,Bruno Torturra: Got a smartphone? Start broadcasting,1,18-12-2014,Livestreaming activist,Got a smartphone? Start broadcasting,"https://www.ted.com/talks/bruno_torturra_got_a_smartphone_start_broadcasting
",1278162,1886
43,"In Brazil, ""catadores"" collect junk and recyclables. But while they provide a vital service that benefits all, they are nearly invisible as they roam the streets. Enter graffiti artist Mundano, a TED Fellow. In a spirited talk, he describes his project ""Pimp My Carroça,"" which has transformed these heroic workers' carts into things of beauty and infused them with a sense of humor. It's a movement that is going global.",322,TEDGlobal 2014,06-10-2014,34,Mundano,Mundano: Trash cart superheroes,1,19-12-2014,Graffiti artist + activist,Trash cart superheroes,"https://www.ted.com/talks/mundano_pimp_my_trash_cart
",966645,1887
86,"In this fun, short talk from TEDYouth, lexicographer Erin McKean encourages — nay, cheerleads — her audience to create new words when the existing ones won’t quite do. She lists out 6 ways to make new words in English, from compounding to “verbing,” in order to make language better at expressing what we mean, and to create more ways for us to understand one another.",412,TEDYouth 2014,15-11-2014,34,Erin McKean,"Erin McKean: Go ahead, make up new words!",1,23-12-2014,Dictionary editor,"Go ahead, make up new words!","https://www.ted.com/talks/erin_mckean_go_ahead_make_up_new_words
",1545629,1888
102,"Meet the “motion microscope,” a video-processing tool that plays up tiny changes in motion and color impossible to see with the naked eye. Video researcher Michael Rubinstein plays us clip after jaw-dropping clip showing how this tech can track an individual’s pulse and heartbeat simply from a piece of footage. Watch him re-create a conversation by amplifying the movements from sound waves bouncing off a bag of chips. The wow-inspiring and sinister applications of this tech you have to see to believe.",798,TEDxBeaconStreet,13-11-2014,30,Michael Rubinstein,"Michael Rubinstein: See invisible motion, hear silent sounds",1,23-12-2014,"Research scientist, Google","See invisible motion, hear silent sounds","https://www.ted.com/talks/michael_rubinstein_see_invisible_motion_hear_silent_sounds_cool_creepy_we_can_t_decide
",1948196,1889
31,"Whales have a surprising and important job, says marine biologist Asha de Vos: these massive creatures are ecosystem engineers, keeping the oceans healthy and stable by ... well, by pooping, for a start. Learn from de Vos, a TED Fellow, about the undervalued work that whales do to help maintain the stability and health of our seas -- and our planet.",345,TEDGlobal 2014,06-10-2014,31,Asha de Vos,Asha de Vos: Why you should care about whale poo,1,05-01-2015,Protector of whales,Why you should care about whale poo,"https://www.ted.com/talks/asha_de_vos_why_you_should_care_about_whale_poo
",1266639,1890
